category_name,total_orders,total_revenue,total_profit,profit_margin_pct
Fishing,17325,6929653.69057627,756220.7671895016,10.91
Cleats,24551,4431942.78318448,494636.91979056766,11.16
Camping & Hiking,13729,4118425.5710180183,427455.5681057242,10.38
Cardio Equipment,12487,3694843.1966302674,383011.0984847035,10.37
Women's Apparel,21035,3147800.0,350421.02956735424,11.13
Water Sports,15540,3113844.684858376,325146.96003752435,10.44
Men's Footwear,22246,2891757.66235332,311902.8202135837,10.79
Indoor/Outdoor Games,19298,2888993.9135053162,318451.4305542024,11.02
Shop By Sport,10984,1309522.0414546314,129813.96031482205,9.91
Computers,442,663000.0,69656.81017111999,10.51
Electronics,3156,371034.6431878968,40891.37991764699,11.02
Cameras ,592,267607.68503199564,30289.799945645023,11.32
Garden,484,257768.72827640042,33443.01010614102,12.97
Children's Clothing,652,232829.20397719738,27178.099596872995,11.67
Crafts,484,223356.3253240023,25531.170060450015,11.43
Girls' Apparel,1201,151706.20063339992,17288.569972693032,11.4
Women's Clothing,650,140283.00474500115,19102.849930084005,13.62
Accessories,1780,133671.50882501053,16643.52007394897,12.45
Sporting Goods,357,117006.75,12518.610118848,10.7
Golf Gloves,1070,116695.39042290642,12975.490078117973,11.12
Music,434,113122.09735260086,14436.319922850007,12.76
Consumer Electronics,431,108991.28211189939,13223.399925574999,12.13
Golf Shoes,524,107998.0,12406.070142829007,11.49
Health and Beauty,362,106080.48307700003,9493.629974264004,8.95
Kids' Golf Clubs,384,98797.57923373049,9045.839895538,9.16
Baseball & Softball,632,94057.15254254031,12762.130067433014,13.57
Boxing & MMA,423,85205.41108690015,8641.370006250998,10.14
DVDs,483,79395.54236669937,6655.430088234,8.38
Golf Balls,1475,77098.15904223005,8342.670023919005,10.82
Trade-In,974,68721.77975241022,7915.369984927997,11.52
Hunting & Shooting,440,56848.42007216005,5979.999945299003,10.52
Strength Training,111,54895.52953640005,332.31009052699983,0.61
Hockey,614,48360.72973540009,5397.430012878,11.16
Men's Golf Clubs,283,47035.80051772003,5517.989977266001,11.73
Tennis & Racquet,328,44585.09062432002,5747.979996384997,12.89
Women's Golf Clubs,181,44545.970131600174,5028.639929452997,11.29
Men's Clothing,208,43856.80126880016,2006.0399694160003,4.57
Pet Supplies,492,41524.800752759904,3589.259958614001,8.64
Lacrosse,343,39464.78979348998,4364.289984193002,11.06
Fitness Accessories,309,35601.44054357992,5258.390016192001,14.77
Golf Apparel,441,34969.750038810096,3496.3099828970016,10.0
Video Games,838,33310.5,2717.5199967359986,8.16
Basketball,67,27099.329343399986,1845.670003454001,6.81
Soccer,138,26477.049837299997,3901.949953446999,14.74
As Seen on  TV!,68,20597.939964179997,714.4299797090002,3.47
Books ,405,12587.399967600086,883.0100077939999,7.02
Baby ,207,12229.560378809958,1525.0299922700003,12.47
Golf Bags & Carts,61,10369.390335499993,1810.069992479,17.46
Toys,529,6104.659978840051,900.7100003560001,14.75
CDs ,271,3059.5899891599897,383.8499996369999,12.55
